Date,Type,New-build,Tenure,Price paid,Sq. feet,Â£/sqft,Lat,Lng,Avg blended £/sqft,Sales per month,Turnover (sale),5yr Price Growth,Crime rate,Population,Population growth (10 year),Degree,Deprivation,Avg. household income,Social rent,Acres of green space / 1000 residents,Households,Density,Average Income,State Schools
2021-11-11 00:00:00,Detached house,Old stock,Freehold,405000.0,1216.0,333.0,51.3498581,1.427888,384.0,21.0,5.0,23.0,106.0,24885.0,5.0,29.0,18.0,39700.0,4.0,11.3,10973.0,5531.0,39700.0,12.0
2022-06-07 00:00:00,Terraced house,Old stock,Freehold,165000.0,1099.0,150.0,52.2450864,-0.8781543,227.0,21.0,12.0,20.0,332.0,29209.0,13.0,34.0,18.0,39900.0,17.0,13.7,13212.0,13938.0,40000.0,9.0
2016-10-21 00:00:00,Semi-detached house,Old stock,Freehold,518500.0,1915.0,271.0,51.7254,0.429745,414.0,37.0,4.0,7.0,147.0,62621.0,8.0,37.0,14.0,49200.0,9.0,17.5,25961.0,1666.0,49200.0,28.0
2020-02-20 00:00:00,Semi-detached house,Old stock,Freehold,220000.0,904.0,243.0,52.944179,-1.498207,249.0,33.0,10.0,14.0,127.0,46003.0,5.0,36.0,18.0,42600.0,10.0,22.4,20088.0,3938.0,42600.0,18.0
2017-03-24 00:00:00,Flat,Old stock,Leasehold,114995.0,700.0,164.0,52.522859,-2.0132,227.0,9.0,10.0,31.0,241.0,27772.0,11.0,21.0,31.0,29200.0,32.0,18.6,10554.0,9337.0,29200.0,12.0
2016/8/15 0:00,Detached house,Old stock,Freehold,171000.0,1109.0,154.0,53.202633,-3.045596,223.0,19.0,8.0,21.0,110.0,42432.0,2.0,26.0,18.0,38500.0,14.0,12.6,17617.0,2016.0,38500.0,16.0
2021-08-27 00:00:00,Semi-detached house,Old stock,Freehold,350000.0,1152.0,304.0,53.3708855,-2.8593079,266.0,15.0,8.0,25.0,96.0,33214.0,4.0,33.0,22.0,36800.0,17.0,26.5,15213.0,8996.0,36800.0,14.0
2017-03-17 00:00:00,Semi-detached house,Old stock,Freehold,83500.0,592.0,141.0,54.559249,-3.471806,161.0,2.0,7.0,9.0,57.0,3608.0,-5.0,29.0,20.0,38200.0,4.0,6.1,1596.0,442.0,38200.0,5.0
2019-07-19 00:00:00,Semi-detached house,Old stock,Freehold,165000.0,807.0,204.0,55.4008418,-1.8892801,247.0,18.0,14.0,15.0,78.0,17444.0,2.0,35.0,14.0,37700.0,5.0,33.5,7637.0,84.0,37700.0,11.0
2019-11-01 00:00:00,Terraced house,New-build,Freehold,264995.0,1270.0,209.0,52.5617298,1.1215428,305.0,10.0,5.0,11.0,90.0,17462.0,15.0,33.0,14.0,44700.0,6.0,12.0,7210.0,677.0,44700.0,9.0
